batch_reward,critic_loss,episode,episode_reward,eps,fps,step
3.9102651278177896,2.726480338308546,6.0,20.220546280899814,0.9892333333333335,2.640296545656056,118
3.918586333592733,1.077649215857188,7.0,3.80084075619248,0.9610499999999998,2.6587907478168042,124
3.9218594312667845,0.5167816549539566,8.0,6.599414233981527,0.9458500000000001,2.7073915598505764,134
3.7847596804300943,0.41584162248505485,9.0,6.33288423366163,0.9278,2.5925024516279502,143
3.821731185913086,0.3462730954090754,10.0,11.966530352023662,0.9049999999999999,2.6061439979294856,158
3.6388134360313416,0.4307239428162575,11.0,2.7300857313387774,0.88695,2.6684883685975276,162
3.7144500414530435,0.3705952962239583,12.0,8.658679404100582,0.8717499999999999,2.769771201717213,174
3.650841328832838,0.38141459474960965,13.0,13.197113278474939,0.84325,2.753693994462811,192
3.6207620275431665,0.4051220817812558,14.0,20.130108466726256,0.7986,2.71651006575311,221
3.761224216885037,0.36028260986010235,15.0,7.512412226306602,0.7625000000000001,2.4869174538435725,230
3.74893856048584,0.28780853748321533,16.0,1.777777777777778,0.7511000000000001,2.8384143026583337,233
3.6753429571787515,0.40514788031578064,17.0,1.9720897949513816,0.7454000000000001,2.578436513522901,236
3.639833434422811,0.40409997006257375,18.0,11.520983950715937,0.7283000000000002,2.8131168757072524,251
3.642439808164324,0.3561844399997166,19.0,14.883863989966596,0.6941,2.7177602544167963,272
3.795371929804484,0.2825048739711444,20.0,1.6873900012353398,0.6713,2.9045843262150552,275
3.570946205746044,0.3804983605038036,21.0,17.973099457389097,0.64755,2.9051567864345675,297
3.640190382798513,0.3649184989432494,22.0,8.52542240543068,0.61525,2.962582449124919,309
3.6944845340870045,0.33622457970071723,23.0,20.25446073344765,0.5782,3.102022485033576,336
3.685789793729782,0.3331513974815607,24.0,29.28899755915693,0.5145499999999998,3.1776602281915918,376
3.7055453153756948,0.3264406392207512,25.0,31.48186473206791,0.43950000000000006,3.170600261536277,415
3.720224830839369,0.2944151378340191,26.0,6.220122426756643,0.3938999999999999,3.0617324324482156,424
3.6939934134483337,0.31352506056427953,27.0,13.516370223499466,0.36635000000000006,2.863723344774879,444
3.705247038602829,0.3218873057514429,28.0,29.047811824836234,0.30934999999999996,2.8040985408078245,484
3.807380372285843,0.2898182511329651,29.0,29.331308628681697,0.23335000000000009,2.88372229250719,524
3.750932455062866,0.323261433839798,30.0,29.619355004446792,0.15735000000000013,2.7661065514531153,564
3.797186827659607,0.293416827917099,31.0,30.13705731788372,0.08163499999999996,2.828964336858963,604
3.8037008106708527,0.2829655308276415,32.0,28.0274813347268,0.050000000000000024,2.801279331823753,644
3.8037714779376985,0.3055133331567049,33.0,29.380475293688992,0.050000000000000024,2.7372426426273173,684
3.8983379662036897,0.26713719721883533,34.0,28.960814668060134,0.050000000000000024,2.6452384248027934,724
3.89728724360466,0.27872386313974856,35.0,29.247678842626865,0.050000000000000024,2.5275488277518967,764
3.9261375613834546,0.2563569072795951,36.0,17.536552515633453,0.05000000000000002,2.7331810570752646,787
3.9468199610710144,0.2434265987947583,37.0,29.49414800139347,0.050000000000000024,2.7796291279910204,827
3.9349895656108855,0.2736115353181958,38.0,31.53374375044076,0.050000000000000024,2.878824102748726,867
