batch_reward,critic_loss,episode,episode_reward,eps,fps,step
3.558689534664154,2.851674735546112,28.0,15.388440691260422,0.9981527777777779,5.736020413318801,408
3.6003636811908923,1.5583891178432263,29.0,15.97219153475389,0.9798124999999999,5.287566195947303,427
3.839744806289673,0.5736807485421499,30.0,1.9072174059466263,0.9667499999999999,5.264532583806146,430
3.5954825282096863,0.5777069386094809,31.0,11.356863571129905,0.95546875,5.184086785754621,446
3.5520233313242593,0.5520393451054891,32.0,2.016534239395826,0.9441875,5.084906777404154,449
3.6127362847328186,0.4985693171620369,33.0,2.6607148454471274,0.94003125,5.108908454971719,453
3.7075817584991455,0.4560762445131938,34.0,1.7555555555555555,0.9358749999999999,5.118677425063105,456
3.5131599373287625,0.5640211668279436,35.0,6.358721199291807,0.9287500000000001,5.034894789849792,465
3.5943282772512997,0.48464413425501657,36.0,13.331627753219527,0.9133125,5.041545509380994,482
3.70093834400177,0.42854607850313187,37.0,2.59851254635806,0.9008437500000002,5.065683958169469,486
3.6262859106063843,0.44714098423719406,38.0,2.551736205912338,0.8960937499999999,5.034290467348499,490
3.558836817741394,0.4787124693393707,39.0,1.0874302574056538,0.89253125,4.8266618641371295,492
3.5771581513541086,0.4718457273074559,40.0,27.22820450640948,0.8705625000000001,5.015506491345641,527
3.59520565867424,0.44964708760380745,41.0,29.109759338884597,0.82603125,4.9380795112103,567
3.6440270483493804,0.41280912421643734,42.0,28.001741863326785,0.77853125,4.860985485841088,607
3.6730500062306723,0.3717935134967168,43.0,1.7555555555555555,0.7530000000000001,4.548534792576254,610
3.644847353299459,0.38790393869082135,44.0,9.197685141736406,0.7440937499999999,4.467012507846747,622
3.558020750681559,0.44064170122146606,45.0,3.9087947321751835,0.7334062499999999,4.359280233905446,628
3.6460378170013428,0.3797517716884613,46.0,1.665179213024727,0.7280625000000001,4.288483383586953,631
3.685997406641642,0.40329362948735553,47.0,4.592655661323489,0.72271875,4.3244616466405885,637
3.6308320249829973,0.3759014116866248,48.0,14.659570084260363,0.7066875,4.0857893267105,658
3.6022588551044463,0.40888024792075156,49.0,29.310496064414846,0.6704687499999998,3.787965186480997,698
3.804738998413086,0.3970482250054677,50.0,1.8661037909387368,0.6449375,3.43100210066161,701
3.6616663499311968,0.39397727901285345,51.0,7.3592905300145715,0.636625,3.3764691486826766,712
3.6516612339019776,0.3800572031736374,52.0,17.59740680151092,0.6152500000000001,2.979413898423017,737
3.6656806826591493,0.36441247425973416,53.0,31.66105075020145,0.57665625,2.219840944099681,777
3.7426235675811768,0.3663681083255344,54.0,13.3991988167487,0.54221875,2.086195302272465,795
3.658254012465477,0.3615914024412632,55.0,11.390787867128092,0.5220312500000001,2.1079857953716443,811
3.7179879188537597,0.35776136418183646,56.0,11.107007960050664,0.503625,2.114102024390755,826
3.690893125534058,0.3289674401283264,57.0,27.669899382347786,0.47096874999999994,1.9690042327940738,866
3.743620198965073,0.3401046048849821,58.0,30.137789300991194,0.4234687499999998,2.275340637584091,906
3.6885579586029054,0.3760486874729395,59.0,31.977824095395352,0.3759687499999999,2.584871340482813,946
3.7495090901851653,0.350855615735054,60.0,28.421397507390886,0.32846875,2.5698694657301435,986
3.755773401260376,0.34558341559022665,61.0,28.249703556949026,0.28096874999999993,2.665911104505786,1026
3.740464210510254,0.3241795785725117,62.0,28.805145681143152,0.23346874999999997,2.836626724967497,1066
